The Silent River,Penguin Books,2015
Digital Horizons,HarperCollins,2018
Echoes of Time,Random House,2012
Learning Spring Boot,OReilly Media,2021
Modern Java Recipes,Manning,2020
Hidden Valleys,Macmillan,2016
Cloud Native Systems,Packt,2022
Data Science Essentials,Wiley,2019
The Last Empire,Oxford Press,2011
Artificial Intelligence Today,Cambridge Press,2023
Journey Beyond Stars,Penguin Books,2014
Practical Microservices,Manning,2020
Clean Code Practices,Prentice Hall,2017
Deep Learning Basics,MIT Press,2021
Spring Batch in Action,Manning,2019
Ocean of Dreams,HarperCollins,2013
Advanced SQL Techniques,OReilly Media,2022
Secrets of Himalayas,Macmillan,2010
Reactive Programming Guide,Packt,2021
The Quantum Age,Cambridge Press,2024
Startup Growth Playbook,Wiley,2018
Algorithms Simplified,Prentice Hall,2016
Kubernetes Essentials,OReilly Media,2022
Nightfall Chronicles,Penguin Books,2015
Effective DevOps,Packt,2020
Future of Robotics,MIT Press,2023
Mastering Hibernate,Manning,2019
Distributed Systems Design,Wiley,2021
The Lost Kingdom,Random House,2014
Python for Data Analysis,OReilly Media,2018
AI for Everyone,Cambridge Press,2022
Secure Coding Handbook,Prentice Hall,2017
The Innovation Mindset,HarperCollins,2016
Blockchain Revolution,Macmillan,2019
Neural Networks Explained,MIT Press,2020
The Desert Prince,Penguin Books,2011
Hands-On Docker,Packt,2021
Modern Web Architecture,Manning,2022
Big Data Analytics,Wiley,2018
The Forgotten Path,Random House,2013
Machine Learning Projects,OReilly Media,2020
Enterprise Integration Patterns,Addison Wesley,2017
The Arctic Mystery,HarperCollins,2015
Software Testing Strategies,Prentice Hall,2019
Edge Computing Guide,Packt,2023
Design Thinking Handbook,Wiley,2016
High Performance Java,Manning,2021
The Hidden Fortress,Macmillan,2012
Cybersecurity Fundamentals,Cambridge Press,2024
Serverless Applications,OReilly Media,2022
